time,open,high,low,close,volume
1631191500000,14.333,14.333,14.118,14.123,35638.37
1631191560000,14.121,14.123,14.0,14.027,24471.22
1631191620000,14.018,14.197,13.99,14.055,26699.57
1631191680000,14.051,14.281,14.05,14.212,27779.84
1631191740000,14.211,14.4,14.159,14.396,31468.59
1631191800000,14.395,14.447,14.328,14.329,51048.84
1631191860000,14.332,14.444,14.284,14.423,25490.0
1631191920000,14.423,14.49,14.4,14.49,16178.88
1631191980000,14.49,14.542,14.373,14.533,43498.61
1631192040000,14.533,14.69,14.48,14.65,112129.28
1631192100000,14.663,14.663,14.513,14.634,46806.61
1631192160000,14.637,14.91,14.627,14.892,42595.75
1631192220000,14.868,15.13,14.868,14.921,67370.33
1631192280000,14.919,15.135,14.908,15.123,31385.49
1631192340000,15.121,15.197,14.73,14.804,64288.49
1631192400000,14.802,15.092,14.779,14.973,56777.81
1631192460000,14.973,14.998,14.888,14.951,21268.5
1631192520000,14.965,14.967,14.855,14.898,33643.5
1631192580000,14.892,14.898,14.588,14.636,66547.73
1631192640000,14.636,14.716,14.538,14.633,27709.76
1631192700000,14.61,14.617,14.442,14.463,32507.16
1631192760000,14.464,14.628,14.422,14.569,30129.86
1631192820000,14.585,14.671,14.552,14.671,21353.51
1631192880000,14.669,14.827,14.65,14.822,27099.12
1631192940000,14.822,14.837,14.378,14.526,100562.53
1631193000000,14.535,14.597,14.387,14.591,34335.24
1631193060000,14.591,14.776,14.588,14.76,13728.55
1631193120000,14.756,14.809,14.726,14.735,20558.02
1631193180000,14.735,14.735,14.394,14.552,41929.67
1631193240000,14.556,14.624,14.553,14.593,8292.62
1631193300000,14.593,14.626,14.457,14.475,17661.86
1631193360000,14.475,14.589,14.457,14.531,16577.57
1631193420000,14.531,14.544,14.5,14.523,8537.8
1631193480000,14.522,14.748,14.508,14.698,20395.75
1631193540000,14.698,14.764,14.674,14.74,11700.64
1631193600000,14.74,14.999,14.74,14.995,44471.16
1631193660000,14.987,15.24,14.977,15.201,65056.23
1631193720000,15.215,15.487,15.033,15.239,62965.44
1631193780000,15.218,15.218,15.088,15.092,19192.67
1631193840000,15.091,15.092,14.873,14.937,33166.19
1631193900000,14.935,14.941,14.857,14.884,14317.94
1631193960000,14.884,15.079,14.88,15.046,18236.11
1631194020000,15.043,15.056,14.831,14.868,33848.47
1631194080000,14.859,14.859,14.21,14.544,133022.49
1631194140000,14.543,14.671,14.5,14.513,25277.23
1631194200000,14.501,14.692,14.479,14.499,38480.22
1631194260000,14.498,14.499,14.364,14.427,24881.31
1631194320000,14.412,14.599,14.405,14.517,23036.94
1631194380000,14.52,14.6,14.505,14.6,13507.64
1631194440000,14.6,14.678,14.574,14.575,16917.3
1631194500000,14.567,14.567,14.352,14.41,24136.4
1631194560000,14.41,14.415,14.194,14.199,29053.34
1631194620000,14.194,14.214,14.133,14.177,23665.82
1631194680000,14.176,14.323,14.134,14.303,13505.72
1631194740000,14.303,14.39,14.288,14.387,21302.12
1631194800000,14.387,14.39,14.338,14.349,13861.89
1631194860000,14.348,14.369,14.2,14.222,16677.1
1631194920000,14.221,14.241,14.135,14.158,8019.81
1631194980000,14.154,14.311,14.149,14.205,14932.01
1631195040000,14.228,14.376,14.218,14.369,11387.82
1631195100000,14.353,14.354,14.045,14.128,24597.44
1631195160000,14.123,14.136,13.955,13.996,51196.28
1631195220000,13.976,13.977,13.8,13.867,56707.1
1631195280000,13.866,13.901,13.8,13.805,34399.52
1631195340000,13.806,14.017,13.71,13.978,53162.13
1631195400000,13.984,14.108,13.978,13.98,29705.75
1631195460000,13.995,14.0,13.793,13.864,27601.79
1631195520000,13.864,13.994,13.857,13.921,21616.4
1631195580000,13.921,14.036,13.918,13.975,25541.62
1631195640000,13.995,14.0,13.946,13.951,13210.31
1631195700000,13.955,13.969,13.818,13.822,14446.95
1631195760000,13.822,13.876,13.817,13.858,13722.66
1631195820000,13.868,13.88,13.85,13.864,21048.56
1631195880000,13.861,14.083,13.86,14.057,24742.42
1631195940000,14.079,14.158,14.063,14.142,27864.45
1631196000000,14.146,14.161,14.116,14.118,9336.58
1631196060000,14.118,14.269,14.117,14.268,18179.65
1631196120000,14.262,14.321,14.256,14.308,20270.74
1631196180000,14.308,14.4,14.306,14.39,16311.09
1631196240000,14.388,14.399,14.106,14.141,29482.39
1631196300000,14.18,14.208,13.957,14.071,19358.87
1631196360000,14.087,14.131,13.946,13.962,15455.38
1631196420000,13.957,13.959,13.897,13.956,18176.41
1631196480000,13.961,14.187,13.923,14.171,15471.8
1631196540000,14.167,14.2,14.055,14.112,14500.61
1631196600000,14.076,14.077,13.946,13.984,11508.83
1631196660000,13.982,13.984,13.937,13.945,5610.71
1631196720000,13.945,13.946,13.85,13.863,12308.85
1631196780000,13.863,13.872,13.67,13.673,119078.07
1631196840000,13.674,13.885,13.651,13.885,38561.58
1631196900000,13.885,14.121,13.884,14.116,37639.5
1631196960000,14.118,14.118,13.965,13.973,15060.02
1631197020000,13.973,14.063,13.915,14.059,12893.46
1631197080000,14.057,14.057,13.851,13.99,19141.5
1631197140000,13.995,14.119,13.995,14.076,17876.79
1631197200000,14.068,14.178,14.066,14.134,13473.67
1631197260000,14.134,14.146,13.971,13.992,33237.86
1631197320000,13.992,14.096,13.98,14.053,13696.28
1631197380000,14.055,14.065,13.951,13.974,10496.19
1631197440000,13.974,14.0,13.915,13.966,15684.39
1631197500000,13.967,13.987,13.946,13.948,3728.49
1631197560000,13.947,13.955,13.874,13.874,4806.07
1631197620000,13.873,13.957,13.752,13.854,50442.35
1631197680000,13.854,13.982,13.84,13.967,13052.46
1631197740000,13.981,14.074,13.969,14.047,10374.74
1631197800000,14.047,14.344,14.045,14.313,62132.63
1631197860000,14.312,14.315,14.121,14.151,26631.91
1631197920000,14.151,14.326,14.121,14.326,17783.79
1631197980000,14.321,14.435,14.28,14.43,31203.23
1631198040000,14.426,14.471,14.248,14.321,33965.98
1631198100000,14.321,14.5,14.309,14.454,36280.51
1631198160000,14.453,14.568,14.436,14.568,30945.31
